,Product,Year,Min,Max,Avg
0,Aviation Turbine Fuel,2000-2004,47453,66825,58857.8
1,Aviation Turbine Fuel,2005-2009,63778,82631,69723.4
2,Aviation Turbine Fuel,2010-2014,101314,139404,117967.8
3,Diesel,2000-2004,286233,326060,305472.8
4,Diesel,2005-2009,294329,612505,392539.0
5,Diesel,2010-2014,648513,901393,746576.2
6,Furnace Oil,2000-2004,2696,20934,13806.8
7,Furnace Oil,2005-2009,2171,4558,3186.4
8,Furnace Oil,2010-2014,435,2450,1433.3333333333333
9,Kerosene,2000-2004,239328,386592,320349.4
10,Kerosene,2005-2009,55788,226637,141116.0
11,Kerosene,2010-2014,18628,49495,30743.2
12,LPG in MT,2000-2004,40102,77594,57734.8
13,LPG in MT,2005-2009,81005,141171,105677.6
14,LPG in MT,2010-2014,159286,258299,207738.8
15,Light Diesel Oil,2000-2004,88,3416,1420.8
16,Light Diesel Oil,2005-2009,179,377,278.0
17,Light Diesel Oil,2010-2014,227,258,242.5
18,Mineral Turpentine Oil,2000-2004,36,132,84.0
19,Petrol,2000-2004,59245,75989,66709.6
20,Petrol,2005-2009,80989,162275,114037.4
21,Petrol,2010-2014,187641,283567,228816.8
